Id,State,Births_past_12months,Population
1,Alabama,58890,3931966
2,Alaska,11703,579778
4,Arizona,82774,5381925
5,Arkansas,40479,2381476
6,California,472565,31206124
8,Colorado,70525,4309301
9,Connecticut,42104,2967896
10,Delaware,10944,765491
11,District of Columbia,9901,559363
12,Florida,213196,16544829
13,Georgia,136418,8019982
15,Hawaii,20432,1158752
16,Idaho,21912,1274423
17,Illinois,152835,10412161
18,Indiana,85078,5284811
19,Iowa,42728,2503309
20,Kansas,37641,2299146
21,Kentucky,57714,3569190
22,Louisiana,55388,3716740
23,Maine,13951,1119690
24,Maryland,69510,4854750
25,Massachusetts,73444,5604860
26,Michigan,125528,8089154
27,Minnesota,77561,4386934
28,Mississippi,36377,2383607
29,Missouri,72192,4909194
30,Montana,11493,835422
31,Nebraska,28196,1488730
32,Nevada,34794,2287984
33,New Hampshire,15202,1111188
34,New Jersey,101295,7282046
35,New Mexico,27963,1667854
36,New York,223568,16248072
37,North Carolina,121511,8029973
38,North Dakota,11641,598037
39,Ohio,134564,9422595
40,Oklahoma,52622,3080740
41,Oregon,43919,3258094
42,Pennsylvania,147759,10562571
44,Rhode Island,10238,882072
45,South Carolina,56055,3929135
46,South Dakota,10739,675764
47,Tennessee,80857,5309334
48,Texas,390196,21001527
49,Utah,51060,2178253
50,Vermont,6765,528064
51,Virginia,113223,6772134
53,Washington,87408,5722255
54,West Virginia,18843,1532355
55,Wisconsin,66998,4682400
56,Wyoming,7529,469219
72,Puerto Rico,36107,2921604
